"X90037","total_sum"
"90017",4518
"90013",4208
"91607",896
"91402",2264
"90014",1586
"90012",2918
"91342",1984
"91340",705
"90851",375
"90710",1828
"91411",2237
"91405",2300
"91316",1636
"91356",1820
"90027",2767
"90049",1107
"90071",1256
"90035",1570
"90048",2107
"91401",2532
"90074",506
"90025",3626
"90292",757
"90057",3855
"90044",3540
"90031",2121
"90033",3072
"90227",261
"90034",2009
"90021",1403
"90016",3621
"90026",3883
"90003",3849
"90028",6168
"90066",1218
"90007",3005
"90036",2696
"90731",3865
"90002",2007
"90086",428
"91352",1488
"90079",326
"90212",65
"90210",340
"91406",3089
"90042",1860
"90047",1588
"90029",2409
"90059",1340
"90272",750
"90032",1849
"90019",3710
"91335",3438
"90062",2384
"90004",2465
"90038",2731
"90024",1385
"90064",2222
"90744",2988
"90043",1560
"90039",1303
"91328",542
"91344",1108
"90005",1762
"90023",2376
"90001",496
"90291",1804
"90046",2924
"91605",1600
"91306",1363
"90011",3006
"91403",1536
"90041",1070
"90230",460
"90732",886
"91436",718
"90501",794
"91343",1791
"13359",320
"90250",65
"90018",2936
"91303",1571
"90068",1164
"90065",1732
"90008",2791
"90020",1477
"91423",1525
"91324",1132
"90010",473
"91331",2210
"90248",547
"91030",17
"90063",449
"90077",316
"90067",351
"90069",453
"91505",22
"91602",690
"90053",134
"90094",341
"90045",1292
"91040",451
"91601",1662
"91345",648
"90061",1366
"90211",184
"91606",1447
"90095",131
"91326",423
"90073",397
"90089",590
"91604",1140
"91364",893
"90505",74
"91325",852
"91515",56
"91522",63
"91307",590
"90232",201
"90058",373
"90405",32
"91504",52
"90247",397
"90404",61
"91330",152
"90009",602
"91304",956
"91204",61
"90717",80
"91608",168
"90293",417
"91311",1135
"90096",93
"90502",285
"90810",150
"90275",68
"91367",1360
"91506",14
"90733",20
"91042",523
"90245",165
"91206",74
"90745",218
"90402",267
"91365",250
"90301",84
"90305",91
"90504",23
"90201",36
"91312",64
"90052",123
"91201",31
"91371",239
"91205",26
"90734",8
"90403",3
"90290",5
"90304",57
"91105",6
